0,0UaMYEvWZi0ZqiDOoHU3YI
1,6I9VzXrHxO9rA9A5euc8Ak
2,0WqIKmW4BTrj3eJFmnCKMv
3,1AWQoqb9bSvzTjaLralEkT
4,1lzr43nnXAijIGYnCT8M8H
5,0XUfyU2QviPAs6bxSpXYG4
6,68vgtRHr7iZHpzGpon6Jlo
7,3BxWKCI06eQ5Od8TY2JBeA
8,7H6ev70Weq6DdpZyyTmUXk
9,2PpruBYCo4H7WOBJ7Q2EwM
10,2gam98EZKrF9XuOkU13ApN
11,4Y45aqo9QMa57rDsAJv40A
12,1HwpWwa6bnqqRhK8agG4RS
13,20ORwCJusz4KS2PbTPVNKo
14,7k6IzwMGpxnRghE7YosnXT
15,1Bv0Yl01xBDZD4OQP93fyl
16,4omisSlTk6Dsq2iQD7MA07
17,7xYnUQigPoIDAMPVK79NEq
18,6d8A5sAx9TfdeseDvfWNHd
19,4pmc2AxSEq6g7hPVlJCPyP
20,215JYyyUnrJ98NK3KEwu6d
21,0uqPG793dkDDN7sCUJJIVC
22,19Js5ypV6JKn4DMExHQbGc
23,1JURww012QnWAw0zZXi6Aa
24,7DFnq8FYhHMCylykf6ZCxA
25,1TfAhjzRBWzYZ8IdUV3igl
26,1Y4ZdPOOgCUhBcKZOrUFiS
27,6MjljecHzHelUDismyKkba
28,67T6l4q3zVjC5nZZPXByU8
29,34ceTg8ChN5HjrqiIYCn9Q
30,5Q0Nhxo0l2bP3pNjpGJwV1
31,6GIrIt2M39wEGwjCQjGChX
32,4E5P1XyAFtrjpiIxkydly4
33,3H1LCvO3fVsK2HPguhbml0
34,3uoQULcUWfnt6nc6J7Vgai
35,2nbClS09zsIAqNkshg6jnp
36,69ghzc538EQSVon2Gm3wrr
37,1kusepF3AacIEtUTYrw4GV
38,7oK9VyNzrYvRFo7nQEYkWN
39,12qZHAeOyTf93YAWvGDTat
40,2jFlMILIQzs7lSFudG9lbo
41,4I2GqMe7L2ccMpUbnDzYLH
42,5lDriBxJd22IhOH9zTcFrV
43,2eJ8ij1T3cNUKiGdcUvKhy
44,5y69gQtK33qxb8a24ACkCy
45,1X5WGCrUMuwRFuYU1eAo2I
46,3utIAb67sOu0QHxBE88P1M
47,3jkdQNkDTxxXtjSO4l0o1H
48,5c1sfI6wIQEsSUw0xrkFdl
49,6sqNctd7MlJoKDOxPVCAvU
50,1b7vg5T9YKR3NNqXfBYRF7
51,2HHtWyy5CgaQbC7XSoOb0e
52,1MYYt7h6amcrauCOoso3Gx
53,3x2mJ2bjCIU70NrH49CtYR
54,1Pm3fq1SC6lUlNVBGZi3Em
55,1NXTEkIeRL59NK61QuhYUl
56,3RGlJJFkWEavxeRQr9ivAd
57,0e9hR1vTrzlUvFH5PgA9rY
58,7dkbEHIMLoeuG4zXGmzhEH
59,7nZnCjIJ8JigdMqJ36yRRm
60,2TK2KSrzXD6W01qjXVjNGh
61,3nJYcY9yvKP8Oi2Ml8brXt
62,4TTV7EcfroSLWzXRY6gLv6
63,4cxvludVmQxryrnx1m9FqL
64,5CQ30WqJwcep0pYcV4AMNc
65,1HZ3cUZUw5htSFmah1V8Ko
66,43pmQcgxMMhJu1gPW2ZdNz
67,6Vz7vzOpCwKeSQlfViibuY
68,4sFbojhVXQv7dBC9PVCcRn
69,1dv3ePjze9tPq2pk8eWJdR
70,5EWPGh7jbTNO2wakv8LjUI
71,1GqlvSEtMx5xbGptxOTTyk
72,39C5FuZ8C8M0QI8CrMsPkR
73,4aVuWgvD0X63hcOCnZtNFA
74,4DMKwE2E2iYDKY01C335Uw
75,1AhDOtG9vPSOmsWgNW0BEY
76,4CJVkjo5WpmUAKp3R44LNb
77,1QEEqeFIZktqIpPI4jSVSF
78,2nVHqZbOGkKWzlcy1aMbE7
79,6MpMuAuLzFFfwB8QzWL1iZ
80,7o2CTH4ctstm8TNelqjb51
81,4BP3uh0hFLFRb5cjsgLqDh
82,0XIvZ82aDF7JiSi3ZE320u
83,3QZ7uX97s82HFYSmQUAN1D
84,6UGHk2cmbDC1oidVjXcCKo
85,3lpDrxUkr0tIe1kmJvdK7d
86,0K6yUnIKNsFtfIpTgGtcHm
87,0hBby0yygBY1u3m6tSpZgC
88,6cbBAD1AAYVaQR1cx89AZX
89,1k0GxoZYv3Yx5mNeXMOZN2
90,74tqql9zP6JjF5hjkHHUXp
91,4erhEGuOGQgjv3p1bccnpn
92,4hRA2rCPaCOpoEIq5qXaBz
93,1enx9LPZrXxaVVBxas5rRm
94,0WNGsQ1oAuHzNTk8jivBKW
95,24psBRmEw3kHjBGZfl1dmb
96,06L1apH8kLF47dbhZ4Zg9A
97,2qWgqPdW1OiAP8KSBH1b93
98,2PTf3zh9UUsgdxQ5b0eXg8
99,7tIJDktakabGoHjwTTa35W
100,6ToAD7ajJidQTDn72OncDG
101,6yEfq48XkEzCg0TwY6Hhkb
102,1ZgfAxHQCXLt8o1VXEHHAt
103,4b1sQpvL7QVgamRZ74F1oA
104,0AO2yQNGcH0ASHHU5lS4lT
105,0g1AmSKokPboFrxmG1dxKx
106,5S5gGOsUarzRXKoaSstwba
107,4z8xFgX0Xq1T9xXomoDLJ2
108,4Y6Voc2xpc4lPD5iKpN4o2
109,2fRojxstKd6Tz9VziOeo9n
110,2BPXILn0MqOe5WroVXlvN1
111,1zl7VGjTBriRXgdHEb6z1e
112,2MSjhkw47sGrjbZhColyVx
113,4ZSLc2F15wKVPjyLt169tt
114,67BbMuItfrHmaNqDxBPF7c
115,0yiigrFvNj02eIlqM8ZGXf
116,0mtuqz4rcMYCKjF1cjmlu6
117,7dkX68UnlbaCBWNDWSrthP
118,2sdf2x4YLaHb1k9HtE9cBs
119,00z4wF0iJsp6GwDkQxkGs6
120,0k6ItoyE50QuW50nGYLO2v
121,61NMqZzdUmRHw1KdS1honh
